"filename", "language", "PHP", "MS SQL", "PostCSS", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\MVC\controllers\controllerAuth.php", "PHP", 28, 0, 0, 0, 0, 0, 1, 7, 36
"c:\xampp\htdocs\MVC\controllers\controllerFee.php", "PHP", 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\MVC\controllers\controllerInvites.php", "PHP", 31, 0, 0, 0, 0, 0, 4, 10, 45
"c:\xampp\htdocs\MVC\controllers\controllerUsers.php", "PHP", 13, 0, 0, 0, 0, 0, 1, 5, 19
"c:\xampp\htdocs\MVC\core\router.php", "PHP", 104, 0, 0, 0, 0, 0, 16, 30, 150
"c:\xampp\htdocs\MVC\models\conexion.php", "PHP", 14, 0, 0, 0, 0, 0, 2, 5, 21
"c:\xampp\htdocs\MVC\models\fees.php", "PHP", 75, 0, 0, 0, 0, 0, 4, 13, 92
"c:\xampp\htdocs\MVC\models\invitations.php", "PHP", 97, 0, 0, 0, 0, 0, 5, 9, 111
"c:\xampp\htdocs\MVC\models\users.php", "PHP", 86, 0, 0, 0, 0, 0, 9, 24, 119
"c:\xampp\htdocs\admin\base.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 7, 40
"c:\xampp\htdocs\admin\includes\editar\editar_cuotas.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\admin\includes\gestion\gestion_cuotas.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\xampp\htdocs\admin\includes\gestion\gestion_invitaciones.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\xampp\htdocs\admin\includes\invitarUsuarios.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\admin\includes\listar\listarInvitaciones.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\xampp\htdocs\admin\includes\listar\listar_cuotas.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\xampp\htdocs\admin\index.php", "PHP", 77, 0, 0, 0, 0, 0, 1, 13, 91
"c:\xampp\htdocs\admin\pages\cuotas.php", "PHP", 60, 0, 0, 0, 0, 0, 22, 9, 91
"c:\xampp\htdocs\admin\pages\users.php", "PHP", 60, 0, 0, 0, 0, 0, 22, 9, 91
"c:\xampp\htdocs\assets\data\schedule.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\xampp\htdocs\assets\data\terms.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\xampp\htdocs\assets\icons\svg\add-user.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\xampp\htdocs\assets\icons\svg\check.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\xampp\htdocs\assets\icons\svg\cross.svg", "XML", 0, 0, 0, 0, 0, 5, 1, 0, 6
"c:\xampp\htdocs\assets\icons\svg\euro.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\xampp\htdocs\assets\icons\svg\list-users.svg", "XML", 0, 0, 0, 0, 0, 13, 1, 3, 17
"c:\xampp\htdocs\assets\js\form.js", "JavaScript", 0, 0, 0, 0, 135, 0, 12, 23, 170
"c:\xampp\htdocs\assets\js\hamburguesa.js", "JavaScript", 0, 0, 0, 0, 17, 0, 2, 3, 22
"c:\xampp\htdocs\assets\js\schedule.js", "JavaScript", 0, 0, 0, 0, 65, 0, 3, 14, 82
"c:\xampp\htdocs\assets\js\terms.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 12, 55
"c:\xampp\htdocs\assets\styles\normalize.css", "PostCSS", 0, 0, 146, 0, 0, 0, 129, 75, 350
"c:\xampp\htdocs\assets\styles\panel.css", "PostCSS", 0, 0, 100, 0, 0, 0, 9, 13, 122
"c:\xampp\htdocs\assets\styles\styles.css", "PostCSS", 0, 0, 504, 0, 0, 0, 20, 73, 597
"c:\xampp\htdocs\base.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\xampp\htdocs\config\.env.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\config\config.php", "PHP", 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\xampp\htdocs\config\debug.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\database\base_de_datos.sql", "MS SQL", 0, 184, 0, 0, 0, 0, 17, 20, 221
"c:\xampp\htdocs\includes\footer.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\includes\navBar.php", "PHP", 73, 0, 0, 0, 0, 0, 7, 14, 94
"c:\xampp\htdocs\includes\registro.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 5, 103
"c:\xampp\htdocs\index.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\xampp\htdocs\views\horarios.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 10, 58
"c:\xampp\htdocs\views\login.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 6, 54
"c:\xampp\htdocs\views\logout.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\xampp\htdocs\views\nosotros.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 11, 55
"c:\xampp\htdocs\views\noticias.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\views\profesores.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\views\registro.php", "PHP", 54, 0, 0, 0, 0, 0, 2, 10, 66
"c:\xampp\htdocs\views\users\profile.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 4, 41
"Total", "-", 1454, 184, 750, 78, 260, 28, 294, 496, 3544
